           chr     start       end closest.active.gene
276381    chr2  70201763  70276096              ASPRV1
3961      chr2 106354238 106479112                NCK2
5306      chr2 106353910 106513433                NCK2
35100     chr2 106353574 106495446                NCK2
80558     chr2 106354192 106513245                NCK2
101451    chr2 106354580 106513325                NCK2
102539    chr2 106453408 106504025                NCK2
130474    chr2 106406421 106476763                NCK2
139330    chr2 106392256 106492370                NCK2
152133    chr2 106362106 106475708                NCK2
153918    chr2 106430181 106476897                NCK2
166335    chr2 106354188 106504437                NCK2
166870    chr2 106354213 106503357                NCK2
168077    chr2 106354213 106503357                NCK2
169042    chr2 106354188 106504437                NCK2
215072    chr2 106354303 106513138                NCK2
215876    chr2 106353719 106523470                NCK2
24411     chr2 152771460 152805016              CACNB4
153366    chr2 152777690 152816603              CACNB4
324024    chr2 152777907 152802163               ARL5A
13081     chr2 165738729 165795798            SLC38A11
23793     chr2 165734461 165777886            SLC38A11
203246    chr2 165745946 165779235            SLC38A11
204105    chr2 165724279 165774227              COBLL1
169993    chr2 182607355 182657946               CERKL
190633    chr2 182607789 182682747               SSFA2
199089    chr2 182617092 182657155             NEUROD1
146684.1  chr2 223616280 223673006               ACSL3
165241    chr2 223638412 223672426               ACSL3
182152    chr2 223649003 223665362               ACSL3
182795    chr2 223649874 223665192               ACSL3
192987.1  chr2 223571162 223678940              MOGAT1
193929.1  chr2 223559763 223665686               FARSB
3421     chr20   1446497   1475124              SIRPB2
8528     chr20   1445897   1482249              SIRPB2
24535    chr20   1446249   1482653              SIRPB2
33305    chr20   1446478   1481231              SIRPB2
43329    chr20   1443478   1476259              NSFL1C
54782    chr20   1445835   1487600              SIRPB2
91234    chr20   1449766   1487145              SIRPB2
91901    chr20   1459186   1470639              SIRPB2
126282   chr20   1446346   1487345              SIRPB2
126727   chr20   1445886   1488187              SIRPB2
129848   chr20   1434423   1487704              SIRPB2
147342   chr20   1446312   1487286              SIRPB2
148222   chr20   1445772   1487525              SIRPB2
150322   chr20   1446277   1476275              SIRPB2
152512   chr20   1445960   1475852              SIRPB2
153230   chr20   1445905   1486998              SIRPB2
179605   chr20   1446043   1487731              SIRPB2
180343   chr20   1446043   1487731              SIRPB2
234113   chr20   1458010   1482020              SIRPB2
302851   chr20   1449788   1482318              SIRPB2
17398    chr20  12989234  13012197              SPTLC3
260628   chr20  12986781  13025112              SPTLC3
45328    chr20  39630303  39659623                TOP1
51369    chr20  39610189  39711398                TOP1
52338    chr20  39631280  39659963                TOP1
59451    chr20  39610177  39660613                TOP1
90709    chr20  39618746  39661423                TOP1
101089   chr20  39630600  39659021                TOP1
127053   chr20  39618951  39661008                TOP1
130613   chr20  39606970  39661238                TOP1
139176   chr20  39630899  39668371                TOP1
142406   chr20  39618021  39685149                TOP1
146682   chr20  39619129  39659568                TOP1
148674   chr20  39631142  39659873                TOP1
153588   chr20  39630712  39677924                TOP1
178525   chr20  39618788  39660573                TOP1
179077   chr20  39618788  39661644                TOP1
205826   chr20  39608037  39711020                TOP1
218584   chr20  39631352  39659674                TOP1
222805   chr20  39631348  39659589                TOP1
263654   chr20  39630617  39668851                TOP1
287076   chr20  39630882  39660647                TOP1
304601   chr20  39619100  39659651                TOP1
326878   chr20  39618477  39660538                TOP1
24151    chr20  39598667  39621108                TOP1
51369.1  chr20  39610189  39711398                TOP1
58573    chr20  39610627  39644250                TOP1
59451.1  chr20  39610177  39660613                TOP1
126387   chr20  39588538  39646959                TOP1
130613.1 chr20  39606970  39661238                TOP1
161874   chr20  39610226  39642763                TOP1
205826.1 chr20  39608037  39711020                TOP1
303749   chr20  39589681  39647873                TOP1
24241    chr20  55878744  55905534               SPO11
263604   chr20  55860308  55894371             MIR4325
283626   chr20  55869588  55903936             MIR4325
27617    chr21  40422910  40477737               PSMG1
31177    chr21  40411565  40479978               PSMG1
52256    chr21  40418409  40424291               PSMG1
55539    chr21  40386324  40424480               PSMG1
68700    chr21  40411799  40497452               PSMG1
71144    chr21  40356546  40470360               PSMG1
72403    chr21  40356459  40477613               PSMG1
76099    chr21  40356520  40483378               PSMG1
81116    chr21  40410848  40478539               PSMG1
82476    chr21  40356166  40478910               PSMG1
87731    chr21  40356648  40477717               PSMG1
202548   chr21  40375600  40424150               PSMG1
209804   chr21  40299029  40457948               PSMG1
220531   chr21  40355707  40429940               PSMG1
302238   chr21  40352089  40435272               PSMG1
323123   chr21  40417513  40424375               PSMG1
323492   chr21  40418682  40424370               PSMG1
9137     chr21  44375774  44396253              PKNOX1
12570    chr21  44375826  44396713              PKNOX1
18254    chr21  44375277  44396572              PKNOX1
24014    chr21  44375678  44397195              PKNOX1
47434    chr21  44375610  44396747              PKNOX1
98257    chr21  44375242  44413711              PKNOX1
110101   chr21  44375293  44413801              PKNOX1
111681   chr21  44375256  44413692              PKNOX1
116122   chr21  44375104  44396876              PKNOX1
116562   chr21  44333364  44395994              PKNOX1
118022   chr21  44375277  44396046              PKNOX1
121580   chr21  44376637  44396551              PKNOX1
131145   chr21  44375819  44396265              PKNOX1
164603   chr21  44375041  44396782              PKNOX1
165980   chr21  44375247  44396829              PKNOX1
23536.1  chr22  21355121  21429186              SLC7A4
152959   chr22  23478089  23502133               RAB36
303814   chr22  23419744  23503169               RAB36
24620    chr22  37263777  37272440                NCF4
58060    chr22  37248857  37273747                NCF4
139424.1 chr22  37249236  37337953              CSF2RB
152174.1 chr22  37252379  37334852              CSF2RB
168725   chr22  37248892  37282165                NCF4
169746   chr22  37248498  37282483                NCF4
209958.1 chr22  37252093  37324750              CSF2RB
272978.1 chr22  37255598  37315612              CSF2RB
276172.1 chr22  37248870  37334854              CSF2RB
277217.1 chr22  37248500  37320176              CSF2RB
590      chr22  37940972  37961181            CDC42EP1
7965     chr22  37937278  37961151            CDC42EP1
15062    chr22  37941320  37960934            CDC42EP1
16907    chr22  37941035  37960891            CDC42EP1
19351    chr22  37940811  37960931            CDC42EP1
20411    chr22  37940879  37960381            CDC42EP1
22032    chr22  37941304  37960383            CDC42EP1
22808    chr22  37938175  37973044            CDC42EP1
23670    chr22  37937691  37961747            CDC42EP1
26084    chr22  37941287  37960904            CDC42EP1
29503    chr22  37937521  37960899            CDC42EP1
49015    chr22  37941015  37978159            CDC42EP1
63737    chr22  37936940  37961187            CDC42EP1
66914    chr22  37896507  37971215              CARD10
68487    chr22  37940603  37963792            CDC42EP1
68764    chr22  37940889  37998591              LGALS2
70618    chr22  37934451  37964294            CDC42EP1
72177    chr22  37896275  37964242              CARD10
75592    chr22  37940831  37963275            CDC42EP1
78711    chr22  37937514  37971171            CDC42EP1
84227    chr22  37940772  37963838            CDC42EP1
85570    chr22  37895162  37970877              CARD10
87494    chr22  37940830  37967382            CDC42EP1
87948    chr22  37940738  37966721            CDC42EP1
88750    chr22  37940651  37966688            CDC42EP1
89583    chr22  37937745  37967034            CDC42EP1
93106    chr22  37890757  37960660              CARD10
94454    chr22  37891054  37963170              CARD10
96778    chr22  37941272  37966486            CDC42EP1
99679    chr22  37934866  37960216            CDC42EP1
115748   chr22  37941269  37967173            CDC42EP1
125555   chr22  37891697  37963392              CARD10
129883   chr22  37904241  37964058              CARD10
139080   chr22  37936684  37967218            CDC42EP1
146394   chr22  37934367  37964076            CDC42EP1
156176   chr22  37941132  37960445            CDC42EP1
157453   chr22  37936486  37966875            CDC42EP1
171013   chr22  37934780  37989036            CDC42EP1
176809   chr22  37937514  37960770            CDC42EP1
179949   chr22  37907485  37963458              CARD10
180743   chr22  37907485  37963458              CARD10
185105   chr22  37891933  37965808              CARD10
199723   chr22  37929651  37989048            CDC42EP1
200611   chr22  37940278  37967328            CDC42EP1
217367   chr22  37934529  37978866            CDC42EP1
234481   chr22  37887666  37960258              CARD10
237736   chr22  37937429  37960371            CDC42EP1
243279   chr22  37939752  37967157            CDC42EP1
243744   chr22  37937436  37967286            CDC42EP1
265643   chr22  37940593  37971171            CDC42EP1
266781   chr22  37940571  37970879            CDC42EP1
268019   chr22  37940541  37971174            CDC42EP1
270041   chr22  37937942  37966297            CDC42EP1
281604   chr22  37888285  37967260              CARD10
282883   chr22  37941186  37978788            CDC42EP1
284129   chr22  37892852  37966983              CARD10
285493   chr22  37940902  37967712            CDC42EP1
297280   chr22  37888248  37963904              CARD10
300945   chr22  37891151  37963728              CARD10
313445   chr22  37892721  37960111              CARD10
318677   chr22  37887664  37963358              CARD10
320409   chr22  37889377  37959947              CARD10
21772    chr22  45047703  45115323                PRR5
23978    chr22  45080091  45109272                PRR5
81885    chr22  45080155  45131984        PRR5-ARHGAP8
99806    chr22  45034538  45129160                PRR5
103280   chr22  45048021  45114631                PRR5
109306   chr22  45076197  45132833        PRR5-ARHGAP8
109574   chr22  45074387  45134536        PRR5-ARHGAP8
121220   chr22  45057100  45099415                PRR5
207060   chr22  45034750  45103727                PRR5
279533   chr22  45015472  45132728                PRR5
280173   chr22  45015547  45132862                PRR5
23550     chr3  16823363  16848335               PLCL2
14605     chr3 111570355 111604333              PHLDB2
18107     chr3 111569949 111584605              PHLDB2
39388     chr3 111564949 111594177              PHLDB2
44544     chr3 111564845 111585067              PHLDB2
52300     chr3 111564656 111594108              PHLDB2
55583     chr3 111564797 111584997              PHLDB2
60408     chr3 111564518 111593945              PHLDB2
62890     chr3 111564203 111594176              PHLDB2
75106     chr3 111570038 111644978              PHLDB2
105316    chr3 111564386 111585578              PHLDB2
109014    chr3 111559136 111616544              PHLDB2
137037    chr3 111566226 111584101              PHLDB2
142953    chr3 111565063 111586299              PHLDB2
144823    chr3 111564932 111584875              PHLDB2
145945    chr3 111564712 111584821              PHLDB2
147151    chr3 111565074 111663028              PHLDB2
148471    chr3 111564957 111601996              PHLDB2
156674    chr3 111564614 111667179              PHLDB2
158947    chr3 111564285 111594160              PHLDB2
160007    chr3 111564358 111584788              PHLDB2
198676    chr3 111569298 111584177              PHLDB2
230987    chr3 111564474 111585466              PHLDB2
241236    chr3 111555021 111585212              PHLDB2
245927    chr3 111564503 111594629              PHLDB2
292324    chr3 111569570 111582381              PHLDB2
292978    chr3 111569284 111589956              PHLDB2
297094    chr3 111569570 111582381              PHLDB2
301512    chr3 111566050 111591744              PHLDB2
312172    chr3 111566691 111581734              PHLDB2
316887    chr3 111564666 111589172              PHLDB2
317996    chr3 111564660 111594567              PHLDB2
318026    chr3 111564127 111700159              PHLDB2
319111    chr3 111565347 111593314              PHLDB2
323263    chr3 111564919 111580745              PHLDB2
323974    chr3 111564625 111580868              PHLDB2
29404     chr3 120135320 120190102               FSTL1
156569    chr3 120134850 120226958               FSTL1
188616    chr3 120135372 120235893               FSTL1
233635    chr3 120134721 120226548               FSTL1
250307    chr3 120134431 120227002               FSTL1
259910    chr3 120135203 120225939               FSTL1
24574     chr3 128150308 128162670               GATA2
23384     chr3 129310491 129385654              PLXND1
37096     chr3 129305702 129408585              PLXND1
37685     chr3 129305508 129384653              PLXND1
55899     chr3 129341842 129414726               TMCC1
135849    chr3 129344900 129361728              PLXND1
164479    chr3 129310855 129394657              PLXND1
246960    chr3 129343780 129382665              PLXND1
264108    chr3 129343511 129414205               TMCC1
303848    chr3 129305975 129383553              PLXND1
324577    chr3 129330105 129384315              PLXND1
325019    chr3 129327051 129384976              PLXND1
325786    chr3 129329980 129383479              PLXND1
326220    chr3 129305369 129384870              PLXND1
326935    chr3 129329892 129384725              PLXND1
327523    chr3 129329786 129385071              PLXND1
328561    chr3 129323836 129385470              PLXND1
329640    chr3 129327979 129384524              PLXND1
330264    chr3 129314682 129384186              PLXND1
61140     chr3 176954240 177405060             TBL1XR1
141628    chr3 177112219 177173280             TBL1XR1
212369    chr3 177136445 177173168             TBL1XR1
174759    chr4  37514099  37564638             C4ORF19
159384    chr4  37813806  37841653                PGM2
24142     chr4  47464608  47489175              ATP10D
156751    chr4  47464112  47568766              ATP10D
24127     chr4 129437337 129476058              PGRMC2
84697     chr4 129444932 129525103               PHF17
120282    chr4 129462944 129525921               PHF17
189374    chr4 129432229 129500914              PGRMC2
186185    chr4 149669683 149716981                <NA>
195509    chr4 149702797 149716263               NR3C2
182999    chr5  34654853  34773586               RAI14
183977    chr5  34569532  34773894               RAI14
18020     chr5  38594782  38616586                LIFR
73577     chr5  38530799  38610011             MIR3650
112834    chr5  38594826  38624632                LIFR
121793    chr5  38598402  38611081                LIFR
322239    chr5  38590649  38610582                LIFR
181871    chr5  70736166  70899047               MCCC2
182367    chr5  70770574  70899069               MCCC2
89685     chr5  77863285  77996080              LHFPL2
146687    chr5  77940219  78017218              LHFPL2
258149    chr5  77905534  77996875              LHFPL2
326949    chr5  77960800  78028890              LHFPL2
327712    chr5  77991972  78028646              LHFPL2
328901    chr5  77991731  78028849              LHFPL2
242549    chr5 145560156 145682100               RBM27
23382     chr5 148437898 148534513              ABLIM3
23588     chr6   4577173   4623733                CDYL
23391     chr6  30709153  30854150                IER3
212341    chr6  30835244  30860585                DDR1
96669     chr6  41690865  41738635                 PGC
231223    chr6  53324885  53342967                GCLC
2655      chr6 106957303 106996547                AIM1
3343      chr6 106949261 107011193                AIM1
5795      chr6 106959369 106998301                AIM1
21625     chr6 106959375 106996499                AIM1
23693     chr6 106944438 107010296                AIM1
35502     chr6 106959039 106995016                AIM1
38720     chr6 106959667 107023370                AIM1
40704     chr6 106959185 107010342                AIM1
43083     chr6 106948251 107014639                AIM1
45179     chr6 106937733 107010475                AIM1
51693     chr6 106937846 107017190                AIM1
54729     chr6 106937664 107010442                AIM1
58112     chr6 106957422 107022060                AIM1
62383     chr6 106957559 106996734                AIM1
81030     chr6 106949323 106996600                AIM1
101659    chr6 106957488 106997976                AIM1
102502    chr6 106961563 106998013                AIM1
103723    chr6 106957390 106996620                AIM1
126567    chr6 106944799 107016664                AIM1
129702    chr6 106916852 107017615                AIM1
139633    chr6 106959150 107023768                AIM1
149053    chr6 106949102 107021269                AIM1
149898    chr6 106944383 107024545                AIM1
151013    chr6 106948233 106996736                AIM1
152266    chr6 106958581 107021709                AIM1
153124    chr6 106917214 107017310                AIM1
159206    chr6 106958891 106996780                AIM1
167320    chr6 106957259 106996596                AIM1
168505    chr6 106957259 106996596                AIM1
169538    chr6 106957155 107002362                AIM1
172382    chr6 106957657 107010542                AIM1
201780    chr6 106959248 107023649                AIM1
216271    chr6 106957777 107014034                AIM1
225523    chr6 106949525 107010513                AIM1
226929    chr6 106959143 107010413                AIM1
250280    chr6 106956853 107023212                AIM1
263001    chr6 106958541 107001729                AIM1
270733    chr6 106957388 107010431                AIM1
271122    chr6 106949420 107012037                AIM1
271750    chr6 106949503 107011260                AIM1
272317    chr6 106957381 107011462                AIM1
272709    chr6 106957440 107011026                AIM1
276538    chr6 106924472 107010883                AIM1
279075    chr6 106949719 106994215                AIM1
302382    chr6 106917606 106997442                AIM1
306137    chr6 106949617 107023498                AIM1
307458    chr6 106986306 107012163                AIM1
322991    chr6 106960025 106996772                AIM1
23629     chr6 158089720 158154195                SNX9
111743    chr6 168700650 168733503               DACT2
115357    chr6 168701706 168728012               DACT2
119003    chr6 168701821 168727646               DACT2
119725    chr6 168701706 168734928               DACT2
165327    chr6 168702355 168734656               DACT2
200661    chr6 168713636 168735128               DACT2
227327    chr6 168699746 168745623               DACT2
170765    chr7  17951480  18028444               SNX13
206183    chr7  17970187  17987905               SNX13
39507     chr7  22666165  22708716                 IL6
44236     chr7  22670882  22717214                 IL6
59981     chr7  22599287  22712261                 IL6
62485     chr7  22686296  22716320                 IL6
105112    chr7  22670432  22716511                 IL6
123358    chr7  22685738  22773139                 IL6
124337    chr7  22685793  22716539                 IL6
125388    chr7  22685923  22716434                 IL6
156466    chr7  22599067  22717137                 IL6
187129    chr7  22671949  22716453                 IL6
320650    chr7  22686025  22708945                 IL6
293193    chr7  92090110  92115124              GATAD1
23390     chr8   6395438   6463419              ANGPT2
47899     chr8   6403699   6461455              ANGPT2
113888    chr8   6455889   6481984              ANGPT2
123502    chr8   6433118   6460861              ANGPT2
177850    chr8   6455442   6460899              ANGPT2
178180    chr8   6455639   6460213              ANGPT2
181935    chr8   6416501   6509316              ANGPT2
182473    chr8   6416700   6491750              ANGPT2
185498    chr8   6384065   6478198              ANGPT2
197962    chr8   6455670   6461001              ANGPT2
251049    chr8   6403882   6463453              ANGPT2
281618    chr8   6403441   6466021              ANGPT2
301397    chr8   6450075   6463328              ANGPT2
309228    chr8   6442186   6478389              ANGPT2
309880    chr8   6442107   6487556              ANGPT2
317831    chr8   6402560   6463399              ANGPT2
318096    chr8   6402452   6466990              ANGPT2
17321     chr8  48522197  48552406               CEBPD
24954     chr8  48518447  48574987               CEBPD
73417     chr8  48513570  48589817               CEBPD
78993     chr8  48504364  48590661               CEBPD
95416     chr8  48505948  48533436               CEBPD
234686    chr8  48505951  48533939               CEBPD
250378    chr8  48503441  48597745               CEBPD
260397    chr8  48505925  48582869               CEBPD
267813    chr8  48524394  48582821               CEBPD
298079    chr8  48516122  48606937               CEBPD
298989    chr8  48508057  48590849               CEBPD
319040    chr8  48511156  48576747               CEBPD
319916    chr8  48513068  48552766               CEBPD
320671    chr8  48512776  48532615               CEBPD
328968    chr8  48519437  48576017               CEBPD
23363     chr8 103727998 103829710               AZIN1
61248     chr8 103691401 103826916               KLF10
84573     chr8 103727854 103823587               AZIN1
179885    chr8 103728179 103781690               KLF10
180818    chr8 103728179 103781690               KLF10
207237    chr8 103726749 103781456               KLF10
294993    chr8 103727388 103759634               KLF10
301971    chr8 103728412 103827996               AZIN1
216071    chr9  77678322  77791810               OSTF1
73854     chr9  92217672  92256589             GADD45G
74811     chr9  92217824  92251052             GADD45G
89190     chr9  92237832  92278177        LOC100129066
90225     chr9  92237894  92290267        LOC100129066
106891    chr9  92217811  92306196        LOC100129066
15078     chr9 112778084 112813712               AKAP2
23951     chr9 112768644 112813891               AKAP2
38674     chr9 112777567 112839923               AKAP2
44179     chr9 112777235 112833306               AKAP2
79635     chr9 112775234 112832696               AKAP2
87753     chr9 112783941 112921118               AKAP2
104620    chr9 112777258 112906871               AKAP2
154798    chr9 112777337 112836301               AKAP2
158137    chr9 112777541 112814610               AKAP2
182894    chr9 112777115 112917695               AKAP2
183985    chr9 112777090 112956861               AKAP2
186582    chr9 112777344 112916231               AKAP2
189096    chr9 112790163 112847039               AKAP2
202267    chr9 112777779 112814272               AKAP2
259948    chr9 112777199 112844837               AKAP2
297915    chr9 112791233 112921185               AKAP2
298718    chr9 112790339 112919142               AKAP2
305353    chr9 112729779 112916891               AKAP2
23820     chr9 124344771 124387501              DAB2IP
24894     chr9 124353781 124388725              DAB2IP
42664     chr9 124358877 124379672              DAB2IP
73372     chr9 124312692 124435847              DAB2IP
138520    chr9 124353893 124375369              DAB2IP
207923    chr9 124339949 124368315              DAB2IP
290652    chr9 124353882 124433232              DAB2IP
291269    chr9 124353559 124433308              DAB2IP
297901    chr9 124356100 124457548              DAB2IP
299203    chr9 124356501 124379452              DAB2IP
93319     chr9 126899552 126909543                NEK6
95065     chr9 126900350 126909543                NEK6
165244    chr9 126894859 126909199                NEK6
189181    chr9 126888885 126909336                NEK6
235238    chr9 126900334 126909569                NEK6
23927     chrX 133780307 133812482               PLAC1
